Round,Calendar_Week_Num,Day_ID,Date,Date_time,Home_Team_ID,Away_Team_ID,Venue_Stadium_ID,Travel_km,Slot_tier,Home_Tier,Away_Tier,Match_Tier,Is_FIFA,Is_CAF,Is_SuperCup,Postponed
1,43,D_20270528,2027-05-28,2027-05-28 22:00:00,PYR,MAS,30_JUNE,135.0,1,1,2,1,0,0,0,False
1,43,D_20270528,2027-05-28,2027-05-28 22:00:00,ZAM,MAH,CAIRO_INTL,105.0,1,1,3,1,0,0,0,False
1,43,D_20270529,2027-05-29,2027-05-29 22:00:00,AHL,CER,CAIRO_INTL,110.0,1,1,2,1,0,0,0,False
1,44,D_20270601,2027-06-01,2027-06-01 17:00:00,GOU,BNK,EL_GOUNA,440.0,3,3,2,2,0,1,0,False
1,44,D_20270601,2027-06-01,2027-06-01 17:00:00,SMO,ZED,BORG_ARAB,170.0,3,2,2,2,0,1,0,False
1,44,D_20270601,2027-06-01,2027-06-01 20:00:00,HAR,PET,HARAS,235.0,3,3,3,3,0,1,0,False
1,44,D_20270601,2027-06-01,2027-06-01 20:00:00,PHA,MOD,BORG_ARAB,195.0,3,3,2,2,0,1,0,False
1,44,D_20270601,2027-06-01,2027-06-01 22:00:00,ISM,TLG,ISMAILIA_ST,135.0,3,2,3,2,0,1,0,False
1,44,D_20270601,2027-06-01,2027-06-01 22:00:00,ITH,ENP,ALEX_STADIUM,235.0,3,2,3,2,0,1,0,False
2,42,D_20270521,2027-05-21,2027-05-21 22:00:00,ENP,MAS,PETRO_SPORT,135.0,1,3,2,2,0,0,0,False
2,42,D_20270521,2027-05-21,2027-05-21 22:00:00,ZED,ZAM,CAIRO_INTL,0.0,1,2,1,1,0,0,0,False
2,42,D_20270522,2027-05-22,2027-05-22 22:00:00,SMO,PYR,BORG_ARAB,195.0,1,2,1,1,0,0,0,False
2,43,D_20270525,2027-05-25,2027-05-25 22:00:00,ISM,MAH,ISMAILIA_ST,225.0,3,2,3,2,0,1,0,False
2,43,D_20270526,2027-05-26,2027-05-26 22:00:00,AHL,TLG,CAIRO_INTL,15.0,3,1,3,1,0,0,0,False
2,43,D_20270526,2027-05-26,2027-05-26 22:00:00,CER,HAR,SUEZ_CANAL,330.0,3,2,3,2,0,0,0,False
2,43,D_20270529,2027-05-29,2027-05-29 20:00:00,MOD,BNK,AL_SALAM,15.0,1,2,2,2,0,0,0,False
2,43,D_20270529,2027-05-29,2027-05-29 20:00:00,PET,PHA,PETRO_SPORT,195.0,1,3,3,3,0,0,0,False
2,43,D_20270529,2027-05-29,2027-05-29 22:00:00,GOU,ITH,EL_GOUNA,660.0,1,3,2,2,0,0,0,False
3,41,D_20270515,2027-05-15,2027-05-15 22:00:00,MAS,ENP,SUEZ_CANAL,135.0,1,2,3,2,0,0,0,False
3,41,D_20270515,2027-05-15,2027-05-15 22:00:00,ZAM,AHL,CAIRO_INTL,0.0,1,1,1,1,0,0,0,False
3,42,D_20270519,2027-05-19,2027-05-19 22:00:00,PYR,GOU,30_JUNE,465.0,3,1,3,1,0,0,0,False
3,42,D_20270522,2027-05-22,2027-05-22 22:00:00,MAH,CER,MAHALLA,225.0,1,3,2,2,0,0,0,False
3,43,D_20270526,2027-05-26,2027-05-26 17:00:00,ZED,MOD,CAIRO_INTL,15.0,3,2,2,2,0,0,0,False
3,43,D_20270526,2027-05-26,2027-05-26 20:00:00,BNK,PHA,CAIRO_INTL,170.0,3,2,3,2,0,0,0,False
3,43,D_20270526,2027-05-26,2027-05-26 20:00:00,ITH,PET,ALEX_STADIUM,235.0,3,2,3,2,0,0,0,False
3,43,D_20270529,2027-05-29,2027-05-29 17:00:00,HAR,ISM,HARAS,330.0,2,3,2,2,0,0,0,False
3,43,D_20270529,2027-05-29,2027-05-29 17:00:00,TLG,SMO,GEHAZ_REYADA,195.0,2,3,2,2,0,0,0,False
4,41,D_20270512,2027-05-12,2027-05-12 22:00:00,MOD,MAS,AL_SALAM,135.0,3,2,2,2,0,0,0,False
4,41,D_20270512,2027-05-12,2027-05-12 22:00:00,PYR,ZAM,30_JUNE,15.0,3,1,1,1,0,0,0,False
4,42,D_20270518,2027-05-18,2027-05-18 22:00:00,CER,ZED,SUEZ_CANAL,110.0,3,2,2,2,0,0,0,False
4,42,D_20270518,2027-05-18,2027-05-18 22:00:00,ENP,BNK,PETRO_SPORT,15.0,3,3,2,2,0,0,0,False
4,42,D_20270519,2027-05-19,2027-05-19 22:00:00,MAH,HAR,MAHALLA,130.0,3,3,3,3,0,0,0,False
4,42,D_20270522,2027-05-22,2027-05-22 20:00:00,PET,ISM,PETRO_SPORT,135.0,1,3,2,2,0,0,0,False
4,42,D_20270522,2027-05-22,2027-05-22 20:00:00,PHA,AHL,BORG_ARAB,170.0,1,3,1,1,0,0,0,False
4,43,D_20270523,2027-05-23,2027-05-23 22:00:00,TLG,ITH,GEHAZ_REYADA,235.0,1,3,2,2,0,0,0,False
4,43,D_20270526,2027-05-26,2027-05-26 17:00:00,SMO,GOU,BORG_ARAB,620.0,3,2,3,2,0,0,0,False
5,41,D_20270509,2027-05-09,2027-05-09 20:00:00,MAS,ZED,SUEZ_CANAL,110.0,1,2,2,2,0,0,0,False
5,41,D_20270509,2027-05-09,2027-05-09 22:00:00,AHL,PYR,CAIRO_INTL,15.0,1,1,1,1,0,0,0,False
5,41,D_20270509,2027-05-09,2027-05-09 22:00:00,ENP,ZAM,PETRO_SPORT,15.0,1,3,1,1,0,0,0,False
5,41,D_20270515,2027-05-15,2027-05-15 20:00:00,BNK,MAH,CAIRO_INTL,105.0,1,2,3,2,0,0,0,False
5,41,D_20270515,2027-05-15,2027-05-15 20:00:00,HAR,CER,HARAS,330.0,1,3,2,2,0,0,0,False
5,42,D_20270516,2027-05-16,2027-05-16 22:00:00,GOU,PET,EL_GOUNA,465.0,1,3,3,3,0,0,0,False
5,42,D_20270519,2027-05-19,2027-05-19 20:00:00,ISM,MOD,ISMAILIA_ST,135.0,3,2,2,2,0,0,0,False
5,42,D_20270519,2027-05-19,2027-05-19 20:00:00,PHA,SMO,BORG_ARAB,0.0,3,3,2,2,0,0,0,False
5,42,D_20270520,2027-05-20,2027-05-20 22:00:00,ITH,TLG,ALEX_STADIUM,235.0,3,2,3,2,0,0,0,False
6,40,D_20270506,2027-05-06,2027-05-06 20:00:00,ZAM,ENP,CAIRO_INTL,15.0,3,1,3,1,0,0,0,False
6,40,D_20270506,2027-05-06,2027-05-06 22:00:00,MAH,PYR,MAHALLA,130.0,3,3,1,1,0,0,0,False
6,40,D_20270506,2027-05-06,2027-05-06 22:00:00,PET,MAS,PETRO_SPORT,135.0,3,3,2,2,0,0,0,False
6,41,D_20270512,2027-05-12,2027-05-12 17:00:00,ZED,CER,CAIRO_INTL,110.0,3,2,2,2,0,0,0,False
6,41,D_20270512,2027-05-12,2027-05-12 20:00:00,AHL,PHA,CAIRO_INTL,170.0,3,1,3,1,0,0,0,False
6,41,D_20270512,2027-05-12,2027-05-12 20:00:00,TLG,BNK,GEHAZ_REYADA,15.0,3,3,2,2,0,0,0,False
6,41,D_20270513,2027-05-13,2027-05-13 22:00:00,ITH,GOU,ALEX_STADIUM,660.0,3,2,3,2,0,0,0,False
6,42,D_20270516,2027-05-16,2027-05-16 22:00:00,ISM,SMO,ISMAILIA_ST,290.0,1,2,2,2,0,0,0,False
6,43,D_20270523,2027-05-23,2027-05-23 22:00:00,MOD,HAR,AL_SALAM,235.0,1,2,3,2,0,0,0,False
7,40,D_20270503,2027-05-03,2027-05-03 17:00:00,ZED,PET,CAIRO_INTL,15.0,3,2,3,2,0,0,0,False
7,40,D_20270503,2027-05-03,2027-05-03 20:00:00,MAS,MOD,SUEZ_CANAL,135.0,3,2,2,2,0,0,0,False
7,40,D_20270503,2027-05-03,2027-05-03 20:00:00,PYR,MAH,30_JUNE,130.0,3,1,3,1,0,0,0,False
7,40,D_20270503,2027-05-03,2027-05-03 22:00:00,CER,ZAM,SUEZ_CANAL,110.0,3,2,1,1,0,0,0,False
7,40,D_20270503,2027-05-03,2027-05-03 22:00:00,ENP,GOU,PETRO_SPORT,465.0,3,3,3,3,0,0,0,False
7,40,D_20270506,2027-05-06,2027-05-06 20:00:00,SMO,AHL,BORG_ARAB,170.0,3,2,1,1,0,0,0,False
7,41,D_20270509,2027-05-09,2027-05-09 17:00:00,TLG,ISM,GEHAZ_REYADA,135.0,2,3,2,2,0,0,0,False
7,41,D_20270509,2027-05-09,2027-05-09 20:00:00,BNK,HAR,CAIRO_INTL,210.0,1,2,3,2,0,0,0,False
7,42,D_20270516,2027-05-16,2027-05-16 20:00:00,PHA,ITH,BORG_ARAB,55.0,1,3,2,2,0,0,0,False
8,39,D_20270430,2027-04-30,2027-04-30 17:00:00,PHA,PYR,BORG_ARAB,195.0,2,3,1,1,0,0,0,False
8,39,D_20270430,2027-04-30,2027-04-30 17:00:00,ZAM,ISM,CAIRO_INTL,110.0,2,1,2,1,0,0,0,False
8,39,D_20270430,2027-04-30,2027-04-30 20:00:00,MAH,TLG,MAHALLA,130.0,1,3,3,3,0,0,0,False
8,39,D_20270430,2027-04-30,2027-04-30 20:00:00,PET,ENP,PETRO_SPORT,0.0,1,3,3,3,0,0,0,False
8,39,D_20270430,2027-04-30,2027-04-30 22:00:00,GOU,AHL,EL_GOUNA,440.0,1,3,1,1,0,0,0,False
8,39,D_20270430,2027-04-30,2027-04-30 22:00:00,ITH,MAS,ALEX_STADIUM,330.0,1,2,2,2,0,0,0,False
8,40,D_20270506,2027-05-06,2027-05-06 17:00:00,BNK,ZED,CAIRO_INTL,0.0,3,2,2,2,0,0,0,False
8,41,D_20270509,2027-05-09,2027-05-09 17:00:00,CER,MOD,SUEZ_CANAL,135.0,2,2,2,2,0,0,0,False
8,41,D_20270512,2027-05-12,2027-05-12 17:00:00,HAR,SMO,HARAS,55.0,3,3,2,2,0,0,0,False
9,38,D_20270423,2027-04-23,2027-04-23 22:00:00,AHL,SMO,CAIRO_INTL,170.0,1,1,2,1,0,0,0,False
9,38,D_20270424,2027-04-24,2027-04-24 22:00:00,ZAM,MAS,CAIRO_INTL,110.0,1,1,2,1,0,0,0,False
9,39,D_20270427,2027-04-27,2027-04-27 20:00:00,PET,TLG,PETRO_SPORT,15.0,3,3,3,3,0,1,0,False
9,39,D_20270427,2027-04-27,2027-04-27 22:00:00,ENP,CER,PETRO_SPORT,135.0,3,3,2,2,0,1,0,False
9,39,D_20270427,2027-04-27,2027-04-27 22:00:00,MOD,ITH,AL_SALAM,235.0,3,2,2,2,0,1,0,False
9,40,D_20270503,2027-05-03,2027-05-03 17:00:00,ISM,BNK,ISMAILIA_ST,110.0,3,2,2,2,0,0,0,False
9,40,D_20270506,2027-05-06,2027-05-06 17:00:00,HAR,PHA,HARAS,55.0,3,3,3,3,0,0,0,False
9,41,D_20270510,2027-05-10,2027-05-10 22:00:00,MAH,GOU,MAHALLA,555.0,3,3,3,3,0,0,0,False
9,41,D_20270515,2027-05-15,2027-05-15 17:00:00,PYR,ZED,30_JUNE,15.0,2,1,2,1,0,0,0,False
10,37,D_20270416,2027-04-16,2027-04-16 22:00:00,AHL,MAH,CAIRO_INTL,105.0,1,1,3,1,0,0,0,False
10,37,D_20270417,2027-04-17,2027-04-17 22:00:00,BNK,ZAM,CAIRO_INTL,0.0,1,2,1,1,0,0,0,False
10,37,D_20270417,2027-04-17,2027-04-17 22:00:00,MAS,ISM,BORG_ARAB,580.0,1,2,2,2,0,0,0,False
10,38,D_20270420,2027-04-20,2027-04-20 22:00:00,SMO,PET,BORG_ARAB,195.0,3,2,3,2,0,1,0,False
10,38,D_20270423,2027-04-23,2027-04-23 22:00:00,PYR,HAR,30_JUNE,235.0,1,1,3,1,0,0,0,False
10,38,D_20270424,2027-04-24,2027-04-24 17:00:00,ZED,ITH,CAIRO_INTL,210.0,2,2,2,2,0,0,0,False
10,38,D_20270424,2027-04-24,2027-04-24 20:00:00,ENP,MOD,PETRO_SPORT,15.0,1,3,2,2,0,0,0,False
10,38,D_20270424,2027-04-24,2027-04-24 20:00:00,TLG,GOU,GEHAZ_REYADA,465.0,1,3,3,3,0,0,0,False
10,38,D_20270424,2027-04-24,2027-04-24 22:00:00,CER,PHA,SUEZ_CANAL,290.0,1,2,3,2,0,0,0,False
11,37,D_20270413,2027-04-13,2027-04-13 22:00:00,CER,AHL,SUEZ_CANAL,110.0,3,2,1,1,0,0,0,False
11,37,D_20270414,2027-04-14,2027-04-14 20:00:00,ZAM,PET,CAIRO_INTL,15.0,3,1,3,1,0,0,0,False
11,37,D_20270414,2027-04-14,2027-04-14 22:00:00,BNK,PYR,CAIRO_INTL,15.0,3,2,1,1,0,0,0,False
11,37,D_20270414,2027-04-14,2027-04-14 22:00:00,HAR,MAS,HARAS,330.0,3,3,2,2,0,0,0,False
11,38,D_20270421,2027-04-21,2027-04-21 20:00:00,MOD,ISM,AL_SALAM,135.0,3,2,2,2,0,0,0,False
11,38,D_20270421,2027-04-21,2027-04-21 20:00:00,PHA,TLG,BORG_ARAB,195.0,3,3,3,3,0,0,0,False
11,38,D_20270421,2027-04-21,2027-04-21 22:00:00,GOU,ENP,EL_GOUNA,465.0,3,3,3,3,0,0,0,False
11,38,D_20270421,2027-04-21,2027-04-21 22:00:00,ITH,ZED,ALEX_STADIUM,210.0,3,2,2,2,0,0,0,False
11,39,D_20270427,2027-04-27,2027-04-27 20:00:00,MAH,SMO,MAHALLA,285.0,3,3,2,2,0,1,0,False
12,36,D_20270406,2027-04-06,2027-04-06 22:00:00,ENP,AHL,PETRO_SPORT,15.0,3,3,1,1,0,0,0,False
12,37,D_20270411,2027-04-11,2027-04-11 20:00:00,TLG,ZAM,GEHAZ_REYADA,15.0,1,3,1,1,0,0,0,False
12,37,D_20270411,2027-04-11,2027-04-11 22:00:00,MAS,BNK,SUEZ_CANAL,110.0,1,2,2,2,0,0,0,False
12,37,D_20270411,2027-04-11,2027-04-11 22:00:00,MOD,PYR,AL_SALAM,15.0,1,2,1,1,0,0,0,False
12,37,D_20270417,2027-04-17,2027-04-17 20:00:00,SMO,CER,BORG_ARAB,290.0,1,2,2,2,0,0,0,False
12,38,D_20270418,2027-04-18,2027-04-18 22:00:00,ITH,PHA,ALEX_STADIUM,55.0,1,2,3,2,0,1,0,False
12,38,D_20270424,2027-04-24,2027-04-24 17:00:00,PET,MAH,PETRO_SPORT,130.0,2,3,3,3,0,0,0,False
12,39,D_20270427,2027-04-27,2027-04-27 17:00:00,GOU,HAR,EL_GOUNA,660.0,3,3,3,3,0,1,0,False
12,39,D_20270427,2027-04-27,2027-04-27 17:00:00,ISM,ZED,ISMAILIA_ST,110.0,3,2,2,2,0,1,0,False
13,33,D_20270316,2027-03-16,2027-03-16 21:00:00,AHL,GOU,CAIRO_INTL,440.0,3,1,3,1,0,0,0,False
13,36,D_20270404,2027-04-04,2027-04-04 22:00:00,MAH,MAS,MAHALLA,225.0,1,3,2,2,0,0,0,False
13,36,D_20270404,2027-04-04,2027-04-04 22:00:00,ZAM,SMO,CAIRO_INTL,170.0,1,1,2,1,0,0,0,False
13,36,D_20270406,2027-04-06,2027-04-06 22:00:00,PYR,ITH,30_JUNE,235.0,3,1,2,1,0,0,0,False
13,36,D_20270408,2027-04-08,2027-04-08 22:00:00,BNK,MOD,CAIRO_INTL,15.0,3,2,2,2,0,1,0,False
13,36,D_20270410,2027-04-10,2027-04-10 22:00:00,CER,PET,SUEZ_CANAL,135.0,1,2,3,2,0,0,0,False
13,37,D_20270414,2027-04-14,2027-04-14 20:00:00,ISM,PHA,ISMAILIA_ST,290.0,3,2,3,2,0,0,0,False
13,38,D_20270418,2027-04-18,2027-04-18 20:00:00,ZED,HAR,CAIRO_INTL,210.0,1,2,3,2,0,1,0,False
13,38,D_20270418,2027-04-18,2027-04-18 22:00:00,ENP,TLG,PETRO_SPORT,15.0,1,3,3,3,0,1,0,False
14,32,D_20270313,2027-03-13,2027-03-13 21:00:00,BNK,AHL,CAIRO_INTL,0.0,1,2,1,1,0,0,0,False
14,32,D_20270313,2027-03-13,2027-03-13 21:00:00,MAS,GOU,SUEZ_CANAL,560.0,1,2,3,2,0,0,0,False
14,33,D_20270316,2027-03-16,2027-03-16 19:00:00,PET,PYR,PETRO_SPORT,15.0,3,3,1,1,0,0,0,False
14,33,D_20270316,2027-03-16,2027-03-16 21:00:00,ITH,ZAM,ALEX_STADIUM,210.0,3,2,1,1,0,0,0,False
14,36,D_20270407,2027-04-07,2027-04-07 22:00:00,PHA,CER,BORG_ARAB,290.0,3,3,2,2,0,0,0,False
14,37,D_20270411,2027-04-11,2027-04-11 17:00:00,SMO,ISM,BORG_ARAB,290.0,2,2,2,2,0,0,0,False
14,37,D_20270411,2027-04-11,2027-04-11 20:00:00,HAR,MAH,HARAS,130.0,1,3,3,3,0,0,0,False
14,37,D_20270415,2027-04-15,2027-04-15 22:00:00,MOD,ENP,AL_SALAM,15.0,3,2,3,2,0,0,0,False
14,37,D_20270415,2027-04-15,2027-04-15 22:00:00,ZED,TLG,CAIRO_INTL,15.0,3,2,3,2,0,0,0,False
15,32,D_20270310,2027-03-10,2027-03-10 21:00:00,ITH,AHL,ALEX_STADIUM,210.0,3,2,1,1,0,0,0,False
15,32,D_20270310,2027-03-10,2027-03-10 21:00:00,ZAM,BNK,CAIRO_INTL,0.0,3,1,2,1,0,0,0,False
15,32,D_20270313,2027-03-13,2027-03-13 19:00:00,ENP,PYR,PETRO_SPORT,15.0,2,3,1,1,0,0,0,False
15,33,D_20270316,2027-03-16,2027-03-16 19:00:00,ISM,MAS,ISMAILIA_ST,15.0,3,2,2,2,0,0,0,False
15,35,D_20270401,2027-04-01,2027-04-01 22:00:00,SMO,PHA,BORG_ARAB,0.0,3,2,3,2,0,1,0,False
15,36,D_20270404,2027-04-04,2027-04-04 20:00:00,MOD,CER,AL_SALAM,135.0,1,2,2,2,0,0,0,False
15,36,D_20270407,2027-04-07,2027-04-07 22:00:00,PET,HAR,PETRO_SPORT,235.0,3,3,3,3,0,0,0,False
15,36,D_20270408,2027-04-08,2027-04-08 20:00:00,TLG,ZED,GEHAZ_REYADA,15.0,3,3,2,2,0,1,0,False
15,36,D_20270408,2027-04-08,2027-04-08 22:00:00,GOU,MAH,EL_GOUNA,555.0,3,3,3,3,0,1,0,False
16,32,D_20270310,2027-03-10,2027-03-10 19:00:00,MAS,PHA,SUEZ_CANAL,290.0,3,2,3,2,0,0,0,False
16,32,D_20270310,2027-03-10,2027-03-10 19:00:00,PYR,ENP,30_JUNE,15.0,3,1,3,1,0,0,0,False
16,32,D_20270313,2027-03-13,2027-03-13 19:00:00,ISM,ZAM,ISMAILIA_ST,110.0,2,2,1,1,0,0,0,False
16,33,D_20270316,2027-03-16,2027-03-16 17:00:00,BNK,SMO,CAIRO_INTL,170.0,3,2,2,2,0,0,0,False
16,35,D_20270401,2027-04-01,2027-04-01 20:00:00,MAH,ITH,MAHALLA,130.0,3,3,2,2,0,1,0,False
16,35,D_20270401,2027-04-01,2027-04-01 22:00:00,CER,TLG,SUEZ_CANAL,135.0,3,2,3,2,0,1,0,False
16,36,D_20270404,2027-04-04,2027-04-04 20:00:00,HAR,ZED,HARAS,210.0,1,3,2,2,0,0,0,False
16,38,D_20270418,2027-04-18,2027-04-18 20:00:00,GOU,MOD,EL_GOUNA,465.0,1,3,2,2,0,1,0,False
16,42,D_20270519,2027-05-19,2027-05-19 17:00:00,AHL,PET,CAIRO_INTL,15.0,3,1,3,1,0,0,0,False
17,32,D_20270307,2027-03-07,2027-03-07 17:00:00,ZED,MAS,CAIRO_INTL,110.0,2,2,2,2,0,0,0,False
17,32,D_20270307,2027-03-07,2027-03-07 19:00:00,SMO,BNK,BORG_ARAB,170.0,2,2,2,2,0,0,0,False
17,32,D_20270307,2027-03-07,2027-03-07 19:00:00,TLG,AHL,GEHAZ_REYADA,15.0,2,3,1,1,0,0,0,False
17,32,D_20270307,2027-03-07,2027-03-07 21:00:00,HAR,ZAM,HARAS,210.0,1,3,1,1,0,0,0,False
17,32,D_20270307,2027-03-07,2027-03-07 21:00:00,PYR,MOD,30_JUNE,15.0,1,1,2,1,0,0,0,False
17,32,D_20270310,2027-03-10,2027-03-10 17:00:00,MAH,ISM,MAHALLA,225.0,3,3,2,2,0,0,0,False
17,32,D_20270313,2027-03-13,2027-03-13 17:00:00,CER,ITH,SUEZ_CANAL,330.0,2,2,2,2,0,0,0,False
17,36,D_20270404,2027-04-04,2027-04-04 17:00:00,PET,GOU,PETRO_SPORT,465.0,2,3,3,3,0,0,0,False
