Date,Slot_rows,Slots_FIFA_flag,Slots_SuperCup_flag,Slots_Is_CAF_flag,Slots_league_eligible,Is_FIFA_union_date
2026-08-01,3,0,0,0,3,0
2026-08-02,3,0,3,0,0,0
2026-08-03,3,0,3,0,0,0
2026-08-04,3,0,3,0,0,0
2026-08-05,3,0,3,0,0,0
2026-08-06,3,0,0,0,3,0
2026-08-07,3,0,0,0,3,0
2026-08-08,3,0,0,0,3,0
2026-08-09,3,0,0,0,3,0
2026-08-10,3,0,0,0,3,0
2026-08-11,3,0,0,0,3,0
2026-08-12,3,0,0,0,3,0
2026-08-13,3,0,0,0,3,0
2026-08-14,3,0,0,0,3,0
2026-08-15,3,0,0,0,3,0
2026-08-16,3,0,0,0,3,0
2026-08-17,3,0,0,0,3,0
2026-08-18,3,0,0,0,3,0
2026-08-19,3,0,0,0,3,0
2026-08-20,3,0,0,0,3,0
2026-08-21,3,0,0,0,3,0
2026-08-22,3,0,0,0,3,0
2026-08-23,3,0,0,0,3,0
2026-08-24,3,0,0,0,3,0
2026-08-25,3,0,0,0,3,0
2026-08-26,3,0,0,0,3,0
2026-08-27,3,0,0,0,3,0
2026-08-28,3,0,0,0,3,0
2026-08-29,3,0,0,0,3,0
2026-08-30,3,0,0,0,3,0
2026-08-31,3,0,0,0,3,0
2026-09-01,3,0,0,0,3,0
2026-09-02,3,0,0,0,0,1
2026-09-03,3,0,0,0,0,1
2026-09-04,3,0,0,0,0,1
2026-09-05,3,0,0,0,0,1
2026-09-06,3,0,0,0,0,1
2026-09-07,3,0,0,0,0,1
2026-09-08,3,0,0,0,0,1
2026-09-09,3,0,0,0,0,1
2026-09-10,3,0,0,0,0,1
2026-09-11,3,0,0,0,3,0
2026-09-12,3,0,0,0,3,0
2026-09-13,3,0,0,3,3,0
2026-09-14,3,0,0,3,3,0
2026-09-15,3,0,0,3,3,0
2026-09-16,3,0,0,0,3,0
2026-09-17,3,0,0,0,3,0
2026-09-18,3,0,0,0,3,0
2026-09-19,3,0,0,0,3,0
2026-09-20,3,0,0,3,3,0
2026-09-21,3,3,0,3,0,1
2026-09-22,3,3,0,3,0,1
2026-09-23,3,3,0,0,0,1
2026-09-24,3,3,0,0,0,1
2026-09-25,3,3,0,0,0,1
2026-09-26,3,3,0,0,0,1
2026-09-27,3,3,0,0,0,1
2026-09-28,3,3,0,0,0,1
2026-09-29,3,3,0,0,0,1
2026-09-30,3,3,0,0,0,1
2026-10-01,3,3,0,0,0,1
2026-10-02,3,3,0,0,0,1
2026-10-03,3,3,0,0,0,1
2026-10-04,3,3,0,0,0,1
2026-10-05,3,3,0,0,0,1
2026-10-06,3,3,0,0,0,1
2026-10-07,3,0,0,0,0,1
2026-10-08,3,0,0,0,0,1
2026-10-09,3,0,0,0,0,1
2026-10-10,3,0,0,0,0,1
2026-10-11,3,0,0,0,0,1
2026-10-12,3,0,0,0,0,1
2026-10-13,3,0,0,0,0,1
2026-10-14,3,0,0,0,0,1
2026-10-15,3,0,0,0,0,1
2026-10-16,3,0,0,0,3,0
2026-10-17,3,0,0,0,3,0
2026-10-18,3,0,0,0,3,0
2026-10-19,3,0,0,0,3,0
2026-10-20,3,0,0,0,3,0
2026-10-21,3,0,0,0,3,0
2026-10-22,3,0,0,0,3,0
2026-10-23,3,0,0,0,3,0
2026-10-24,3,0,0,0,3,0
2026-10-25,3,0,0,0,3,0
2026-10-26,3,0,0,0,3,0
2026-10-27,3,0,0,0,3,0
2026-10-28,3,0,0,0,3,0
2026-10-29,3,0,0,0,3,0
2026-10-30,3,0,0,0,3,0
2026-10-31,3,0,0,0,3,0
2026-11-01,3,0,0,0,3,0
2026-11-02,3,0,0,0,3,0
2026-11-03,3,0,0,0,3,0
2026-11-04,3,0,0,0,3,0
2026-11-05,3,0,0,0,3,0
2026-11-06,3,0,0,0,3,0
2026-11-07,3,0,0,0,3,0
2026-11-08,3,0,0,0,3,0
2026-11-09,3,3,0,0,0,1
2026-11-10,3,3,0,0,0,1
2026-11-11,3,3,0,0,0,1
2026-11-12,3,3,0,0,0,1
2026-11-13,3,3,0,0,0,1
2026-11-14,3,3,0,0,0,1
2026-11-15,3,3,0,0,0,1
2026-11-16,3,3,0,0,0,1
2026-11-17,3,3,0,0,0,1
2026-11-18,3,0,0,0,0,1
2026-11-19,3,0,0,0,0,1
2026-11-20,3,0,0,0,3,0
2026-11-21,3,0,0,0,3,0
2026-11-22,3,0,0,0,3,0
2026-11-23,3,0,0,0,3,0
2026-11-24,3,0,0,0,3,0
2026-11-25,3,0,0,0,3,0
2026-11-26,3,0,0,3,3,0
2026-11-27,3,0,0,3,3,0
2026-11-28,3,0,0,0,3,0
2026-11-29,3,0,0,0,3,0
2026-11-30,3,0,0,0,3,0
2026-12-01,3,0,0,0,3,0
2026-12-02,3,0,0,0,3,0
2026-12-03,3,0,0,0,3,0
2026-12-04,3,0,0,0,3,0
2026-12-05,3,0,0,0,3,0
2026-12-06,3,0,0,3,3,0
2026-12-07,3,0,0,3,3,0
2026-12-08,3,0,0,3,3,0
2026-12-09,3,0,0,0,3,0
2026-12-10,3,0,0,0,3,0
2026-12-11,3,0,0,0,3,0
2026-12-12,3,0,0,0,3,0
2026-12-13,3,0,0,3,3,0
2026-12-14,3,0,0,3,3,0
2026-12-15,3,0,0,3,3,0
2026-12-16,3,0,0,0,3,0
2026-12-17,3,0,0,0,3,0
2026-12-18,3,0,0,0,3,0
2026-12-19,3,0,0,0,3,0
2026-12-20,3,0,0,0,3,0
2026-12-21,4,0,0,0,4,0
2026-12-22,4,0,0,0,4,0
2026-12-23,4,0,0,0,4,0
2026-12-24,4,0,0,0,4,0
2026-12-25,4,0,0,0,4,0
2026-12-26,4,0,0,0,4,0
2026-12-27,4,0,0,0,4,0
2026-12-28,4,0,0,0,4,0
2026-12-29,4,0,0,0,4,0
2026-12-30,4,0,0,0,4,0
2026-12-31,4,0,0,0,4,0
2027-01-01,4,0,0,0,4,0
2027-01-02,4,0,0,0,4,0
2027-01-03,4,0,0,4,4,0
2027-01-04,4,0,0,4,4,0
2027-01-05,4,0,0,4,4,0
2027-01-06,4,0,0,0,4,0
2027-01-07,4,0,0,0,4,0
2027-01-08,4,0,0,0,4,0
2027-01-09,4,0,0,0,4,0
2027-01-10,4,0,0,4,4,0
2027-01-11,4,0,0,4,4,0
2027-01-12,4,0,0,4,4,0
2027-01-13,4,0,0,0,4,0
2027-01-14,4,0,0,0,4,0
2027-01-15,4,0,0,0,4,0
2027-01-16,4,0,0,0,4,0
2027-01-17,4,0,0,4,4,0
2027-01-18,4,0,0,4,4,0
2027-01-19,4,0,0,4,4,0
2027-01-20,4,0,0,0,4,0
2027-01-21,4,0,0,0,4,0
2027-01-22,4,0,0,0,4,0
2027-01-23,4,0,0,0,4,0
2027-01-24,4,0,0,0,4,0
2027-01-25,4,0,0,0,4,0
2027-01-26,4,0,0,0,4,0
2027-01-27,4,0,0,0,4,0
2027-01-28,4,0,0,0,4,0
2027-01-29,4,0,0,0,4,0
2027-01-30,4,0,0,0,4,0
2027-01-31,4,0,0,0,4,0
2027-02-01,4,0,0,0,4,0
2027-02-02,4,0,0,0,4,0
2027-02-03,4,0,0,0,4,0
2027-02-04,4,0,0,0,4,0
2027-02-05,4,0,0,0,4,0
2027-02-06,4,0,0,0,4,0
2027-02-07,4,0,0,0,4,0
2027-02-08,4,0,0,0,4,0
2027-02-09,4,0,0,0,4,0
2027-02-10,4,0,0,0,4,0
2027-02-11,4,0,0,0,4,0
2027-02-12,4,0,0,0,4,0
2027-02-13,4,0,0,0,4,0
2027-02-14,4,0,0,0,4,0
2027-02-15,4,0,0,0,4,0
2027-02-16,4,0,0,0,4,0
2027-02-17,4,0,0,0,4,0
2027-02-18,4,0,0,0,4,0
2027-02-19,4,0,0,0,4,0
2027-02-20,4,0,0,0,4,0
2027-02-21,4,0,0,0,4,0
2027-02-22,4,0,0,0,4,0
2027-02-23,4,0,0,0,4,0
2027-02-24,4,0,0,0,4,0
2027-02-25,4,0,0,0,4,0
2027-02-26,4,0,0,0,4,0
2027-02-27,4,0,0,0,4,0
2027-02-28,4,0,0,0,4,0
2027-03-01,4,0,0,0,4,0
2027-03-02,4,0,0,0,4,0
2027-03-03,4,0,0,0,4,0
2027-03-04,4,0,0,0,4,0
2027-03-05,4,0,0,0,4,0
2027-03-06,4,0,0,0,4,0
2027-03-07,4,0,0,0,4,0
2027-03-08,4,0,0,0,4,0
2027-03-09,4,0,0,0,4,0
2027-03-10,4,0,0,0,4,0
2027-03-11,4,0,0,0,4,0
2027-03-12,4,0,0,0,4,0
2027-03-13,4,0,0,0,4,0
2027-03-14,4,0,0,0,4,0
2027-03-15,4,0,0,0,4,0
2027-03-16,4,0,0,0,4,0
2027-03-17,4,0,0,0,0,1
2027-03-18,4,0,0,0,0,1
2027-03-19,4,0,0,0,0,1
2027-03-20,4,0,0,0,0,1
2027-03-21,4,0,0,0,0,1
2027-03-22,4,4,0,0,0,1
2027-03-23,4,4,0,0,0,1
2027-03-24,4,4,0,0,0,1
2027-03-25,4,4,0,0,0,1
2027-03-26,4,4,0,0,0,1
2027-03-27,4,4,0,0,0,1
2027-03-28,4,4,0,0,0,1
2027-03-29,4,4,0,0,0,1
2027-03-30,3,3,0,0,0,1
2027-03-31,3,0,0,0,3,0
2027-04-01,3,0,0,3,3,0
2027-04-02,3,0,0,3,3,0
2027-04-03,3,0,0,0,3,0
2027-04-04,3,0,0,0,3,0
2027-04-05,3,0,0,0,3,0
2027-04-06,3,0,0,0,3,0
2027-04-07,3,0,0,0,3,0
2027-04-08,3,0,0,3,3,0
2027-04-09,3,0,0,3,3,0
2027-04-10,3,0,0,0,3,0
2027-04-11,3,0,0,0,3,0
2027-04-12,3,0,0,0,3,0
2027-04-13,3,0,0,0,3,0
2027-04-14,3,0,0,0,3,0
2027-04-15,3,0,0,0,3,0
2027-04-16,3,0,0,0,3,0
2027-04-17,3,0,0,0,3,0
2027-04-18,3,0,0,3,3,0
2027-04-19,3,0,0,3,3,0
2027-04-20,3,0,0,3,3,0
2027-04-21,3,0,0,0,3,0
2027-04-22,3,0,0,0,3,0
2027-04-23,3,0,0,0,3,0
2027-04-24,3,0,0,0,3,0
2027-04-25,3,0,0,3,3,0
2027-04-26,3,0,0,3,3,0
2027-04-27,3,0,0,3,3,0
2027-04-28,3,0,0,0,3,0
2027-04-29,3,0,0,0,3,0
2027-04-30,3,0,0,0,3,0
2027-05-01,3,0,0,0,3,0
2027-05-02,3,0,0,0,3,0
2027-05-03,3,0,0,0,3,0
2027-05-04,3,0,0,0,3,0
2027-05-05,3,0,0,0,3,0
2027-05-06,3,0,0,0,3,0
2027-05-07,3,0,0,0,3,0
2027-05-08,3,0,0,0,3,0
2027-05-09,3,0,0,0,3,0
2027-05-10,3,0,0,0,3,0
2027-05-11,3,0,0,0,3,0
2027-05-12,3,0,0,0,3,0
2027-05-13,3,0,0,0,3,0
2027-05-14,3,0,0,0,3,0
2027-05-15,3,0,0,0,3,0
2027-05-16,3,0,0,0,3,0
2027-05-17,3,0,0,3,3,0
2027-05-18,3,0,0,0,3,0
2027-05-19,3,0,0,0,3,0
2027-05-20,3,0,0,0,3,0
2027-05-21,3,0,0,0,3,0
2027-05-22,3,0,0,0,3,0
2027-05-23,3,0,0,0,3,0
2027-05-24,3,0,0,3,3,0
2027-05-25,3,0,0,3,3,0
2027-05-26,3,0,0,0,3,0
2027-05-27,3,0,0,0,3,0
2027-05-28,3,0,0,0,3,0
2027-05-29,3,0,0,0,3,0
2027-05-30,3,0,0,0,3,0
2027-05-31,3,0,0,0,3,0
2027-06-01,3,0,0,3,3,0
2027-06-02,3,0,0,0,0,1
2027-06-03,3,0,0,0,0,1
2027-06-04,3,0,0,0,0,1
2027-06-05,3,0,0,0,0,1
2027-06-06,3,0,0,0,0,1
2027-06-07,3,3,0,0,0,1
2027-06-08,3,3,0,0,0,1
2027-06-09,3,3,0,0,0,1
2027-06-10,3,3,0,0,0,1
